words,links,capital_words,spam_word_count,is_spam
96,7,5,10,1
274,2,2,2,0
498,3,10,4,1
173,1,7,2,1
105,1,2,0,0
717,8,22,7,1
257,2,2,2,0
158,0,11,6,1
400,0,0,1,0
204,2,0,2,0
745,10,18,6,1
917,2,17,3,1
286,1,10,2,0
31,0,3,2,0
118,5,30,7,1
108,0,0,9,1
292,1,0,1,0
49,2,3,2,0
162,0,0,0,0
366,2,3,0,0
600,5,24,8,1
191,10,25,3,1
238,0,10,0,0
296,0,0,5,0
721,5,19,1,1
825,6,21,8,1
749,4,1,10,1
230,2,1,1,0
211,1,2,0,0
336,0,22,3,1
180,8,30,9,1
96,1,0,0,0
839,1,27,10,1
517,6,6,7,1
214,4,19,9,1
262,1,0,0,0
375,1,6,1,0
867,1,3,4,1
201,1,0,2,0
30,0,0,2,0
198,2,2,0,0
260,1,1,0,0
737,2,22,1,1
228,2,8,6,0
113,2,1,1,0
277,2,1,1,0
149,2,0,0,0
141,2,2,1,0
596,2,6,2,1
174,6,29,5,1
106,7,8,3,1
119,2,3,1,0
268,2,2,1,0
163,3,1,4,0
483,0,15,7,1
257,1,1,2,0
177,2,3,0,0
98,5,14,5,1
502,6,4,5,1
112,1,0,6,0
123,3,4,7,1
144,1,4,0,0
651,9,11,10,1
898,10,25,3,1
254,1,0,2,0
302,2,2,2,0
579,3,7,10,1
252,9,29,3,1
156,2,3,2,0
898,2,3,7,1
266,3,15,6,1
290,2,2,2,0
290,0,1,0,0
238,1,0,0,0
630,6,22,4,1
51,2,24,3,1
855,7,22,4,1
237,1,4,3,1
908,5,4,8,1
288,5,0,1,0
206,0,2,0,0
101,4,0,5,1
299,0,2,0,0
79,4,20,3,1
442,3,28,10,1
228,1,0,2,0
250,4,19,5,1
188,1,3,0,0
490,5,7,7,1
330,2,0,2,1
750,10,9,3,1
132,2,5,6,0
447,6,21,9,1
636,7,21,7,1
538,2,16,0,1
580,9,26,4,1
283,1,1,1,0
899,2,21,7,1
409,10,25,4,1
82,5,30,8,1
580,3,26,3,1
147,1,3,0,0
291,5,1,0,0
141,10,29,5,1
163,1,1,3,0
482,2,0,2,0
338,2,1,2,0
668,8,5,3,1
234,1,3,1,0
230,0,3,2,0
71,2,0,1,0
549,1,18,7,1
285,2,3,1,0
199,2,8,2,0
143,5,26,4,1
54,2,0,0,0
140,8,25,7,1
71,2,2,1,0
422,5,23,7,1
263,2,3,0,0
250,1,3,2,0
260,1,1,1,0
314,2,8,0,0
22,2,0,2,0
511,3,15,10,1
218,1,3,3,0
120,7,5,2,1
169,0,8,6,0
574,9,1,5,1
120,1,5,0,0
897,7,4,10,1
655,1,28,3,1
510,2,30,7,1
113,4,1,5,0
73,8,11,9,1
170,10,26,6,1
184,2,3,1,0
80,1,3,2,0
842,2,23,0,1
345,3,3,1,0
405,1,1,2,0
246,0,1,2,0
90,7,17,8,1
530,10,11,9,1
656,9,13,3,1
560,3,22,9,1
92,0,3,1,0
353,2,4,2,0
161,3,3,0,0
255,0,24,10,1
235,8,2,3,1
229,0,4,6,0
146,4,0,6,0
361,9,25,9,1
791,8,19,8,1
431,1,18,10,1
38,1,3,2,0
194,2,3,3,0
914,10,5,10,1
515,3,9,1,1
205,7,13,7,1
204,1,2,0,0
48,1,1,0,0
212,5,2,0,0
282,1,0,0,0
226,1,2,2,0
127,2,30,4,1
442,1,3,1,0
168,0,7,10,1
264,7,3,9,1
819,3,28,0,1
824,2,20,4,1
873,0,17,8,1
101,5,0,8,1
213,0,0,2,0
278,0,2,1,0
588,7,12,4,1
493,9,6,9,1
579,9,17,7,1
100,2,2,1,0
124,1,9,0,0
285,1,2,1,0
316,8,11,8,1
190,1,1,1,0
208,2,1,0,0
284,1,3,0,0
458,7,16,8,1
162,8,12,8,1
946,7,16,10,1
505,4,25,6,1
395,1,3,4,0
292,2,0,5,0
210,3,5,9,1
97,2,29,10,1
332,10,13,1,1
231,4,3,2,0
327,2,0,10,1
249,0,2,4,0
133,2,1,0,0
863,2,22,10,1
217,0,0,1,0
173,2,1,1,0
945,2,9,1,1
129,0,3,6,0
127,0,4,0,0
723,6,18,3,1
457,0,2,0,0
80,2,3,0,0
273,2,0,3,0
29,1,1,1,0
256,2,1,1,0
122,8,12,8,1
90,2,1,1,0
38,1,6,1,0
141,0,12,4,1
449,2,0,8,1
252,0,2,4,0
346,1,4,5,0
262,2,0,0,0
600,8,15,6,1
559,5,28,9,1
867,8,26,10,1
215,1,5,2,0
126,1,2,1,0
275,9,3,5,1
283,2,0,3,0
623,8,10,2,1
167,0,2,1,0
240,5,19,9,1
213,1,0,0,0
908,3,10,5,1
34,1,2,0,0
226,2,3,2,0
192,1,9,2,0
374,10,30,5,1
273,2,10,2,0
889,3,16,8,1
259,0,3,1,0
252,2,1,1,0
290,0,3,6,0
284,2,3,1,0
627,8,8,6,1
873,2,16,7,1
212,1,3,1,0
933,6,14,9,1
288,4,0,4,0
159,1,1,1,0
335,2,1,10,1
125,1,1,0,0
216,2,0,0,0
662,5,6,7,1
394,8,1,3,1
102,4,27,10,1
72,2,0,2,0
